size, time [msec], bandwidth [GB/s], hvalue, dvalue
65536, 0.012, 22.257088,254.500839, 254.507935
131072, 0.012, 44.329754,508.673553, 508.680664
262144, 0.011, 96.991585,1018.964294, 1018.971741
524288, 0.014, 147.499786,2038.795898, 2038.802002
1048576, 0.037, 114.632919,4077.060547, 4077.067139
2097152, 0.071, 117.369141,8158.667969, 8158.674316
4194304, 0.137, 122.296280,16321.664062, 16321.672852
8388608, 0.260, 128.991501,32639.054688, 32639.070312
16777216, 0.538, 124.836739,65281.992188, 65282.019531
33554432, 1.011, 132.720505,130563.984375, 130563.992188
67108864, 2.045, 131.259659,261127.968750, 261127.968750
134217728, 4.111, 130.581909,522255.937500, 522255.781250
