size, time [msec], bandwidth [GB/s], hvalue, dvalue
65536, 0.061, 4.314417,254.500839, 254.500839
131072, 0.074, 7.111883,508.673553, 508.673523
262144, 0.075, 13.966116,1018.964294, 1018.964355
524288, 0.089, 23.590012,2038.795898, 2038.795898
1048576, 0.112, 37.282703,4077.060547, 4077.060547
2097152, 0.180, 46.629280,8158.667969, 8158.667969
4194304, 0.303, 55.366695,16321.664062, 16321.664062
8388608, 0.556, 60.367069,32639.054688, 32639.054688
16777216, 1.254, 53.503895,65281.992188, 65281.992188
33554432, 2.071, 64.800041,130563.984375, 130563.984375
67108864, 4.533, 59.216228,261127.968750, 261127.968750
134217728, 8.167, 65.737091,522255.937500, 522255.937500
