size, time [msec], bandwidth [GB/s], hvalue, dvalue
65536, 0.015, 17.193151,254.500839, 254.500854
131072, 0.015, 35.724174,508.673553, 508.673523
262144, 0.014, 75.469696,1018.964294, 1018.964417
524288, 0.018, 119.523079,2038.795898, 2038.795654
1048576, 0.052, 81.248741,4077.060547, 4077.060547
2097152, 0.083, 100.971458,8158.667969, 8158.667969
4194304, 0.147, 113.952431,16321.664062, 16321.664062
8388608, 0.281, 119.560127,32639.054688, 32639.054688
16777216, 0.552, 121.665497,65281.992188, 65281.992188
33554432, 1.118, 120.051636,130563.984375, 130563.984375
67108864, 2.146, 125.113823,261127.968750, 261127.968750
134217728, 4.294, 125.040062,522255.937500, 522255.937500
