size, time [msec], bandwidth [GB/s], hvalue, dvalue
65536, 0.011, 23.131035,254.500839, 254.500854
131072, 0.012, 43.825794,508.673553, 508.673523
262144, 0.014, 76.914543,1018.964294, 1018.964417
524288, 0.017, 123.857315,2038.795898, 2038.795654
1048576, 0.048, 88.230560,4077.060547, 4077.060547
2097152, 0.074, 112.677414,8158.667969, 8158.667969
4194304, 0.147, 114.013603,16321.664062, 16321.664062
8388608, 0.278, 120.855904,32639.054688, 32639.054688
16777216, 0.568, 118.114265,65281.992188, 65281.992188
33554432, 1.096, 122.489601,130563.984375, 130563.984375
67108864, 2.153, 124.677238,261127.968750, 261127.968750
134217728, 4.331, 123.949562,522255.937500, 522255.937500
